,source_language,split,target_language
1135,we are fighting an enemy we do n't know .,train,nous luttons contre un ennemi que nous ne connaissons pas.
1136,i am now under a doctor 's care .,train,je suis dã©sormais traitã© par un mã©decin.
1137,you are very rich .,train,vous ãªtes trã¨s riches.
1138,i am counting on your help .,train,je compte sur ton aide.
1139,he is in need of money .,train,il a besoin d'argent.
1140,she is capable of teaching both english and french .,train,elle est capable d'enseigner ã  la fois l'anglais et le franã§ais.
1141,he is a teacher of english .,train,il est prof d'anglais.
1142,he is the spitting image of his father .,train,c'est le portrait crachã© de son pã¨re.
1143,he is engaged to my sister .,train,il est fiancã© ã  ma så“ur.
1144,she is the editor-in-chief .,train,elle est lâ€™ã©diteur en chef.
1145,you are very early this morning .,train,vous ãªtes lã  de bonne heure ce matin !
1146,he is swimming in the pool .,train,il nage dans la piscine.
1147,they are looking to you for help .,train,ils attendent que tu les aides.
1148,they are all very busy .,train,ils sont tous trã¨s occupã©s.
1149,he is not as tall as his brother .,train,il n'est pas aussi grand que son frã¨re.
1150,he is the greatest living artist .,train,c'est le plus grand artiste vivant.
1151,you are not allowed to turn left on this street .,train,on n'a pas le droit de tourner ã  gauche dans cette rue.
1152,he is suspected of robbery .,train,il est suspectã© de vol.
1153,i am able to swim across the river .,train,je suis en mesure de traverser la riviã¨re ã  la nage.
1154,"she is poor , but she is happy .",train,"elle est pauvre, mais elle est heureuse."
1155,they are bored .,train,elles s'ennuient.
1156,he is about to die .,train,il est ã  l'article de la mort.
1157,he is unable to do it .,train,il est incapable de le faire.
1158,he is very a dangerous man .,train,c'est un homme trã¨s dangereux.
1159,he is proficient in both spanish and italian .,train,il est compã©tent en espagnol et en italien.
1160,you are a good person .,train,vous ãªtes une chouette gonzesse.
1161,you are good .,train,tu es bon.
1162,he is making cookies .,train,il confectionne des biscuits.
1163,you are hilarious .,train,vous me faites mourir de rire.
1164,you are impossible .,train,vous ãªtes insupportable.
1165,he is afraid of snakes .,train,il a peur des serpents.
1166,they are very big .,train,ils sont trã¨s gros.
1167,i am in a new house .,train,je suis dans une nouvelle maison.
1168,he is a physicist .,train,c'est un physicien.
1169,you are no longer welcome here .,train,vous n'ãªtes plus les bienvenus ici.
1170,they are n't the kind of people you should want to be friends with .,train,elles ne sont pas le genre de personnes avec lesquelles vous voudriez ãªtre ami.
1171,he is good at cooking .,train,il est bon cuisinier.
1172,he is always taking a nap at school .,train,il est toujours en train de faire la sieste ã  l'ã©cole.
1173,he is boiling with rage .,train,il bout de colã¨re.
1174,he is drawing a picture .,train,il est en train de dessiner une image.
1175,i am afraid that you will get lost .,train,je crains que tu t'ã©gares.
1176,he is standing on the stage .,train,il se tient sur la scã¨ne.
1177,i am aware of the fact .,train,je suis au courant.
1178,she is ashamed of what she 's done .,train,elle a honte de ce qu'elle a fait.
1179,we are using a new process to make butter .,train,nous employons un nouveau procã©dã© de fabrication du beurre.
1180,you are very courageous .,train,vous ãªtes fort courageuse.
1181,we are glad to help you .,train,nous sommes heureux de vous aider.
1182,they are my friends .,train,ce sont mes amis.
1183,they are leaving japan tomorrow .,train,ils quittent le japon demain.
1184,he is being very careful .,train,il est trã¨s prudent.
1185,i am not certain about that .,train,je n'en suis pas certain.
1186,"you are n't really going to do that , are you ?",train,"vous n'allez pas vraiment faire cela, n'est-ce pas ?"
1187,he is in his library .,train,il est dans sa bibliothã¨que.
1188,he is afraid to fly in an airplane .,train,il a peur de prendre l'avion.
1189,you are taller than she is .,train,vous ãªtes plus grand qu'elle.
1190,he is an unsung hero .,train,c'est un hã©ros inconnu.
1191,we are staying at our uncle 's .,train,nous restons chez notre oncle.
1192,he is not aggressive enough to succeed in business .,train,il n'est pas suffisamment agressif pour rã©ussir dans les affaires.
1193,we are traveling on a tight budget .,train,nous voyageons ã  petit budget.
1194,i am interested in music .,train,j'ai de l'intã©rãªt pour la musique.
1195,you are blushing .,train,tu rougis !
1196,she is sewing a dress .,train,elle coud une robe.
1197,he is seeking a new position .,train,il cherche actuellement un nouveau poste.
1198,he is too young to go there alone .,train,il est trop jeune pour y aller seul.
1199,they are now either in kyoto or in osaka .,train,"ils sont ã  prã©sent soit ã  kyoto, soit ã  osaka."
1200,i am pretty sure .,train,je suis relativement sã»r.
1201,i am a student of this school .,train,je suis un ã©tudiant de cette ã©cole.
1202,he is fond of painting .,train,il adore la peinture.
1203,she is old .,train,elle est vieille.
1204,she is beginning to play the piano .,train,elle commence ã  jouer du piano.
1205,she is in a green dress .,train,elle porte une robe verte.
1206,they are both good .,train,elles sont toutes deux bonnes.
1207,he is more lucky than clever .,train,il est plus chanceux qu'intelligent.
1208,you are no longer a baby .,train,tu n'es plus un bã©bã©.
1209,she is first in line .,train,elle est au premier rang.
1210,he is able to play the guitar .,train,il sait jouer de la guitare.
1211,she is looking for a job where she can make use of her foreign language ability .,train,elle cherche un travail oã¹ elle puisse utiliser son talent pour les langues ã©trangã¨res.
1212,"you are curious , are n't you ?",train,"tu es curieux, heinâ ?"
1213,you are important .,train,vous ãªtes importants.
1214,i am the chosen one .,train,je suis l'ã©lue.
1215,they are both good teachers .,train,ce sont tous les deux de bons professeurs.
1216,i am the same age .,train,j'ai le mãªme ã¢ge.
1217,i am delighted to be here .,train,je suis enchantã© d'ãªtre ici.
1218,he is after a better job .,train,il est ã  la recherche d'un meilleur boulot.
1219,he is a highly paid man .,train,c'est un homme trã¨s bien payã©.
1220,he is a painter .,train,il est peintre.
1221,she is peeling the potatoes .,train,elle ã©pluche des pommes de terre.
1222,i am hungry because i did not eat lunch .,train,j'ai faim car je n'ai pas dã©jeunã©.
1223,i am loved by all my family .,train,je suis aimã© de toute ma famille.
1224,he is familiar with computers .,train,il a l'habitude des ordinateurs.
1225,he is likely to win the game .,train,il est probable qu'il remporte le jeu.
1226,he is fresh from college .,train,il vient de sortir de l'universitã©.
1227,i am thinking of resigning at once .,train,je songe ã  dã©missionner immã©diatement.
1228,he is introverted .,train,il est introverti.
1229,he is not stupid .,train,il n'est pas idiot.
1230,he is fluent in chinese .,train,il parle couramment le chinois.
1231,i am the same age .,train,je suis du mãªme ã¢ge.
1232,he is a spoiled child .,train,c'est un enfant gã¢tã©.
1233,she is singing the latest popular songs .,train,elle chante les derniã¨res chansons populaires.
1234,i am fed up with his vulgar jokes .,train,j'en ai assez de ses plaisanteries vulgaires.
1235,i am totally confused .,train,je suis complã¨tement confus.
1236,she is known to everyone .,train,elle est connue de tout le monde.
1237,he is mentally handicapped .,train,il est handicapã© mental.
1238,she is a real beauty .,train,c'est une vraie beautã©.
1239,they are all college students .,train,ce sont tous des ã©tudiants de la fac.
1240,she is busy preparing for an examination .,train,elle est occupã©e ã  se prã©parer pour un examen.
1241,he is something of a celebrity .,train,il est une sorte de cã©lã©britã©.
1242,he is said to have died .,train,on le dit mort.
1243,i am baking bread .,train,je suis en train de cuire du pain.
1244,he is armed to the teeth .,train,il est armã© jusqu'aux dents.
1245,i am happy to have so many good friends .,train,je suis content d'avoir autant de bons amis.
1246,he is busy doing something .,train,il est occupã© ã  faire quelque chose.
1247,i am going to start a new job next week .,train,je vais commencer un nouveau travail la semaine prochaine.
1248,he is experienced in valuing antiques .,train,il est expã©rimentã© dans l'ã©valuation d'antiquitã©s.
1249,he is neither for nor against the plan .,train,il n'est ni pour ni contre ce plan.
1250,i am so exhausted !,train,je suis si ã©puisã© !
1251,he is regarded as the best doctor in the village .,train,il est considã©rã© comme le meilleur mã©decin du village.
1252,i am ready to do anything for you .,train,je suis prãªt ã  tout faire pour toi.
1253,he is stronger than ever .,train,il est plus fort que jamais.
1254,he is beginning to lose his hair .,train,il commence ã  perdre ses cheveux.
1255,he is very afraid of dogs .,train,il a trã¨s peur des chiens.
1256,he is far from happy .,train,il n'est vraiment pas heureux.
1257,i am far from satisfied with the result .,train,je suis loin d'ãªtre satisfait du rã©sultat.
1258,he is better off than he used to be .,train,il est meilleur que ce qu'il ã©tait.
1259,we are measuring the depth of the river .,train,nous mesurons la profondeur de la riviã¨re.
1260,we are not short of oil in this country .,train,"nous ne sommes pas ã  court de pã©trole, dans ce pays."
1261,he is playing music .,train,il joue de la musique.
1262,he is determined to go to england .,train,il est dã©terminã© ã  aller en angleterre.
1263,she is certainly over forty .,train,elle a certainement plus de quarante ans.
1264,i am fond of skiing .,train,j'aime skier.
1265,i am repairing the washing machine .,train,je rã©pare le lave-linge.
1266,he is used to eating in a rush .,train,il a l'habitude de manger ã  la hã¢te.
1267,i am hers and she is mine .,train,je suis ã  elle et elle est ã  moi.
